id,name,symbol,circulating_supply,price,volume_24h,market_cap,percent_change_1h,percent_change_24h,percent_change_7d,market_cap
1,Bitcoin,BTC,19239181.0,16914.142330526898,22797496484.688404,325414245756.7688,0.2093272,2.93126037,-4.84946962,325414245756.7688
1027,Ethereum,ETH,122373866.2178,1218.4931980502536,6694072380.452889,149111723605.501,0.22754808,4.34566741,-7.75434636,149111723605.501
825,Tether,USDT,66209545099.99765,1.0000916923474608,26317010680.071743,66215616008.612175,-0.00138384,0.0017777,0.00672408,66215616008.612175
3408,USD Coin,USDC,44463652191.311195,1.0000620162494844,2565003899.2558184,44466409660.258484,0.00779965,-0.002255,-0.00599792,44466409660.258484
1839,BNB,BNB,159966618.23554933,252.139185976394,672462519.8487747,40333852905.30799,0.53029116,4.69969085,-7.31340864,40333852905.30799
4687,Binance USD,BUSD,18073232422.59406,1.0000670185280065,5527889778.198154,18074443664.02734,-0.00784507,-0.0006159,-0.03766482,18074443664.02734
52,XRP,XRP,50343500506.0,0.35208365585768714,928842765.5527267,17725123706.8258,0.13008665,4.04898585,-10.97608349,17725123706.8258
74,Dogecoin,DOGE,132670764299.89409,0.07504722522707791,443141861.26764673,9956572729.462719,0.74419323,5.0582285,-17.72518044,9956572729.462719
2010,Cardano,ADA,34494580448.689,0.2594702627055528,186700720.80945182,8950317850.939161,0.38243453,2.63189041,-16.84874854,8950317850.939161
3890,Polygon,MATIC,8734317475.28493,0.8032379172598131,326057413.2924081,7015734977.533855,0.55776745,4.01493269,-12.70822115,7015734977.533855
4943,Dai,DAI,5870432107.887521,1.0001227954776986,186510530.75069103,5871152970.402506,0.02467245,0.02745486,0.02909299,5871152970.402506
6636,Polkadot,DOT,1149146827.510113,4.613682302497275,137108255.05673975,5301798381.054297,0.26468264,3.08502481,-12.54634876,5301798381.054297
1958,TRON,TRX,92012458556.76291,0.05507380633819654,184520235.9069818,5067476323.256495,0.64846311,2.55750858,1.13844038,5067476323.256495
2,Litecoin,LTC,71873130.9212834,65.9257804099007,525138210.4407809,4738292246.488573,0.74892751,4.55545422,-14.9773927,4738292246.488573
5994,Shiba Inu,SHIB,549063278876301.94,8.435462725026511e-06,107487787.45254445,4631602822.641881,0.3414261,3.48745117,-8.1047438,4631602822.641881
5426,Solana,SOL,366823932.71870273,12.302358452942157,178304296.65797034,4512799509.423417,0.26214202,3.5083644,-10.93439574,4512799509.423417
7083,Uniswap,UNI,762209326.5354977,5.354632288328597,50144968.558065,4081350670.3321705,0.62100395,5.14824602,-12.1859964,4081350670.3321705
5805,Avalanche,AVAX,311141608.50264865,11.976140202080297,134261192.54667354,3726275526.128499,0.35616919,5.35122843,-12.94442883,3726275526.128499
3957,UNUS SED LEO,LEO,953954130.0,3.706510688996192,2868700.76822466,3535841179.6570625,0.01340416,-1.40722291,-0.2620484,3535841179.6570625
3717,Wrapped Bitcoin,WBTC,186009.87235854,16865.683584376042,164906549.1764008,3137183650.7693105,0.23692892,2.76838748,-4.92573671,3137183650.7693105
1975,Chainlink,LINK,507999970.4527867,6.029482896152645,210174564.95930254,3062977133.0911264,0.62566156,3.73684211,-12.7371562,3062977133.0911264
11419,Toncoin,TON,1221401181.0,2.4088160249828223,62047016.01054824,2942130737.7257447,0.09327836,4.79478964,3.45728499,2942130737.7257447
328,Monero,XMR,18216224.25721748,147.25023744171023,64070459.32003528,2682343347.1667156,0.21494427,2.24175333,-3.02751684,2682343347.1667156
3794,Cosmos,ATOM,286370297.0,8.968890425511807,93361498.30346316,2568423814.914273,0.30508777,3.52131501,-7.91472191,2568423814.914273
1321,Ethereum Classic,ETC,138463748.25971273,15.98085073946359,106413354.4782023,2212768493.7651305,0.59095592,6.16704304,-17.09124259,2212768493.7651305
512,Stellar,XLM,26073651794.691254,0.07609377158243896,48752226.20658879,1984042503.985286,0.48546511,3.55406238,-9.58275926,1984042503.985286
1831,Bitcoin Cash,BCH,19261350.0,102.23360383607945,125398848.73974867,1969157225.248069,0.6007827,3.45012769,-6.9303131,1969157225.248069
3635,Cronos,CRO,25263013692.0,0.057251755684298876,13439252.02760727,1446351887.7434814,0.91775493,3.60474471,-8.0011671,1446351887.7434814
3897,OKB,OKB,60000000.0,22.753289043780786,22982056.09473886,1365197342.626847,-1.19270285,6.57404622,-0.68993114,1365197342.626847
3155,Quant,QNT,12072738.0,108.62009994075666,21892914.01671331,1311342008.1185706,0.58355944,4.79286907,-11.41471985,1311342008.1185706
18876,ApeCoin,APE,361250000.0,3.5372335388023775,121899091.07763742,1277825615.8923588,0.56303648,4.57831374,-12.86229492,1277825615.8923588
4030,Algorand,ALGO,7134426179.211292,0.1790381903139397,45618089.72940798,1277334752.054385,0.6740202,2.78411189,-20.01847985,1277334752.054385
3077,VeChain,VET,72511146418.0,0.016369602837844166,24791949.35850367,1186978668.1794267,0.30384535,3.05508549,-14.2074054,1186978668.1794267
6535,NEAR Protocol,NEAR,843736972.0,1.346929951142721,71903064.13421229,1136454598.4732673,0.55664874,7.20069463,-21.25429496,1136454598.4732673
4642,Hedera,HBAR,24906474161.767307,0.04279042293933429,11823890.55883681,1065758563.3096247,0.87505529,5.00857831,-10.30353445,1065758563.3096247
8916,Internet Computer,ICP,279543995.23285073,3.732763798605865,18920950.91707656,1043471705.5228356,0.76214995,6.86811306,-10.27166922,1043471705.5228356
2280,Filecoin,FIL,344509189.0,2.9859106921876113,147012993.72390202,1028673670.9919826,0.87073252,6.50589934,-30.84516291,1028673670.9919826
1765,EOS,EOS,1077518283.698,0.8919970864673007,95073866.6796835,961143169.6738623,0.39263114,5.49156881,-10.80202275,961143169.6738623
3330,Pax Dollar,USDP,945642940.11,1.0036900757871978,1118674.07421975,949132434.2266345,-0.03491613,0.88254864,0.28810942,949132434.2266345
3602,Bitcoin SV,BSV,19257070.39423905,46.11931290955137,29711345.63065696,888122855.2331685,0.25285756,2.02511707,-0.45269146,888122855.2331685
6892,MultiversX (Elrond),EGLD,23853401.49645088,35.94145562172868,28450027.39843446,857325971.3119657,0.58283567,1.57270066,-18.13360039,857325971.3119657
2502,Huobi Token,HT,153357694.25441208,5.434540908000975,10349024.82590832,833428662.9823085,0.2036381,5.40207963,-15.88656921,833428662.9823085
4558,Flow,FLOW,1036200000.0,0.7789267434080002,21617898.75686232,807123891.5193697,0.68822496,7.62405083,-18.27352619,807123891.5193697
4172,Terra Classic,LUNC,5982805658851.345,0.00013396364052316306,60668543.80735431,801478426.6023073,0.16170714,2.98782239,-20.36767249,801478426.6023073
7278,Aave,AAVE,14093192.58056459,55.85126218822937,44967127.67117725,787122593.8863218,0.393298,4.19935795,-9.68036826,787122593.8863218
2416,Theta Network,THETA,1000000000.0,0.7764858281353536,11823587.99460658,776485828.1353536,0.87904124,5.67095989,-8.17381795,776485828.1353536
2563,TrueUSD,TUSD,755309294.6013908,0.999398618792301,24660748.62218867,754855065.7856171,-0.01076649,-0.00091077,-0.05419717,754855065.7856171
2011,Tezos,XTZ,920435298.025606,0.8076733581921058,12770888.02119951,743411068.154893,0.25418305,4.03559847,-16.76205191,743411068.154893
19891,USDD,USDD,725332035.842248,0.9816199600438485,16607245.02963597,712000404.0419908,-0.01464728,-0.0708189,-0.09607208,712000404.0419908
6783,Axie Infinity,AXS,99633810.17198853,6.999416894380844,65713590.41889855,697378574.1693505,0.61184287,7.524842,-8.5140984,697378574.1693505
4066,Chiliz,CHZ,6137378353.074791,0.11260007715490274,93573693.11474223,691069276.0850513,0.07810744,5.99140809,-19.79502304,691069276.0850513
6210,The Sandbox,SAND,1499470108.2233226,0.4518165980537138,71627022.5923045,677485483.1806958,0.64372478,4.85362877,-20.23335358,677485483.1806958
1437,Zcash,ZEC,15960043.75,42.33168640689826,35381892.9828747,675615567.0653765,0.24779437,0.08877473,-8.52280338,675615567.0653765
5964,Trust Wallet Token,TWT,416649900.0,1.619984407334291,67947892.7447056,674966341.3173916,1.59562548,12.17602378,-27.75346127,674966341.3173916
2087,KuCoin Token,KCS,98379860.95,6.389087919339202,671274.43534363,628557581.1019155,-0.00213957,1.16313144,-4.16268676,628557581.1019155
3306,Gemini Dollar,GUSD,607049883.35,1.005501151727171,439521.25012081,610389356.8642699,-0.03488561,-0.34139108,-0.96293577,610389356.8642699
16086,BitTorrent-New,BTT,947962000000000.0,6.439770916022688e-07,11140556.75809038,610465811.7094699,0.70755239,3.99658049,-5.88806024,610465811.7094699
11221,BitDAO,BIT,2090946168.860899,0.28640078333387403,7277560.202916,598848620.6707243,0.03501602,1.59551743,-11.20687473,598848620.6707243
1966,Decentraland,MANA,1855084191.7804768,0.3165574934493295,35736897.88214894,587240801.887503,0.49515938,4.7869523,-18.98942206,587240801.887503
3513,Fantom,FTM,2766229067.9477997,0.20349881460442112,51537395.95763929,562924336.2516699,0.40883776,3.94520825,-18.67827061,562924336.2516699
7186,PancakeSwap,CAKE,159162531.99063164,3.4737971558417855,23141004.97817805,552898350.9456334,0.31854906,4.21157741,-7.81628928,552898350.9456334
1518,Maker,MKR,977631.03695089,558.0409928316674,13918489.61870004,545558194.4831271,0.19328323,5.97226474,-7.47281357,545558194.4831271
21794,Aptos,APT,130000000.0,3.916761845566743,63037457.60145266,509179039.9236766,0.7421056,3.35364093,-15.59375666,509179039.9236766
6719,The Graph,GRT,8711287896.026423,0.05769257831342488,10727966.86962183,502576659.15229464,0.39155226,5.49063626,-13.91176857,502576659.15229464
4705,PAX Gold,PAXG,271263.71,1816.3228261011125,9960011.72667673,492702468.3658726,0.07767524,1.09610954,0.35235475,492702468.3658726
4256,Klaytn,KLAY,3066687758.1353087,0.1573964170623198,21429086.76296385,482685665.3793756,0.39140035,3.46367311,-15.06080702,482685665.3793756
10791,eCash,XEC,19257354673303.0,2.437143482701333e-05,5824634.57718029,469329364.36108464,0.539361,5.75334663,-16.88816478,469329364.36108464
131,Dash,DASH,11057340.94833609,42.249787404664104,59216512.74617767,467170304.3280868,0.46674126,1.99990276,-12.8620322,467170304.3280868
1720,IOTA,MIOTA,2779530283.0,0.1668525956897702,6745900.77229159,463771842.5168716,0.27335583,4.80475467,-18.51827646,463771842.5168716
1376,Neo,NEO,70538831.0,6.566522370454936,17631530.3629596,463194811.7472401,0.73432507,4.85642807,-10.11740034,463194811.7472401
18679,Chain,XCN,21472783889.0,0.020951366478166266,8151886.62100473,449884164.56490326,0.06099396,-5.68848178,-38.31019347,449884164.56490326
4157,THORChain,RUNE,327056566.0,1.3583116829702453,38346832.02278005,444244754.5899291,0.20149542,3.92638478,-4.11269699,444244754.5899291
8642,Fei USD,FEI,424996177.78890556,0.9997737447483813,1992609.55278144,424900020.17176294,-0.01456434,0.09599313,0.66103824,424900020.17176294
2586,Synthetix,SNX,248782193.82263386,1.6208980007122262,14701878.86267694,403250560.5799088,0.15050569,5.54777635,-12.4787497,403250560.5799088
11857,GMX,GMX,8370733.47919349,46.664720092733035,11613113.82209007,390617934.7774336,-0.40098745,7.17872755,-12.87038666,390617934.7774336
8646,Mina,MINA,779718794.8400393,0.48850787701634846,13398532.34566633,380898773.1370533,0.54298738,5.2076537,-11.40753921,380898773.1370533
4269,GateToken,GT,108265076.62840587,3.4251226517090556,2529754.15712143,370821166.34896964,0.11490354,1.61214502,-6.34949105,370821166.34896964
5068,Neutrino USD,USDN,680266294.444135,0.5392514808812158,604279.21142428,366834606.67257696,1.95858753,-0.48348399,-23.98263707,366834606.67257696
2694,Nexo,NEXO,560000011.0,0.6515166015682887,3467781.60938936,364849304.0449243,0.25146138,3.71157396,-0.43691936,364849304.0449243
12220,Osmosis,OSMO,492590761.0,0.7403610838023146,10545014.00829006,364695029.6849669,0.30316399,-0.17521205,-19.35119444,364695029.6849669
2634,XDC Network,XDC,12305012698.75,0.028034166220579942,3511411.69420388,344960771.3431045,1.66918517,5.15317649,25.88874471,344960771.3431045
10603,ImmutableX,IMX,731419289.7800242,0.4594620197124955,15483469.75005083,336059384.13900894,0.66830473,6.48643271,4.38613767,336059384.13900894
21296,EthereumPoW,ETHW,107635841.04993,2.9642862276277615,12294983.7432082,319063441.2234384,1.23604992,2.73711967,-18.33491895,319063441.2234384
4847,Stacks,STX,1349531216.687032,0.23058250240652492,5124641.85048452,311178285.01941806,0.00222602,4.5813478,-22.63282157,311178285.01941806
8000,Lido DAO,LDO,312951153.95865756,0.9908897938495392,9401143.4720761,310100104.4310696,0.77586306,3.87499737,-11.69734737,310100104.4310696
8104,1inch Network,1INCH,764779659.5912384,0.404517206119666,13745945.45696239,309366531.194997,0.38873436,5.30435044,-8.3105462,309366531.194997
2469,Zilliqa,ZIL,15867699446.7699,0.018077166789127696,16809947.06484153,286843049.45900875,0.35698732,4.13190521,-18.6956061,286843049.45900875
1168,Decred,DCR,14596832.13882834,19.371986554732157,1035237.59222828,282769635.93506485,0.74796861,3.78045933,-7.51286369,282769635.93506485
1697,Basic Attention Token,BAT,1494373166.4163349,0.18910653620133536,13815777.14846582,282595733.2932148,0.41694984,5.62260001,-16.56623969,282595733.2932148
6538,Curve DAO Token,CRV,531583334.41539234,0.5291756024791894,33540343.11160601,281300931.2571616,0.24102538,1.90283768,-19.14552256,281300931.2571616
5899,Casper,CSPR,10597784397.0,0.026403537918328793,5074625.93239002,279819002.1764627,0.79328154,-1.16553979,-11.95953799,279819002.1764627
1934,Loopring,LRC,1330133545.5263836,0.20951350516828135,14109353.56713651,278680941.46514636,0.4938258,5.42997574,-15.71812029,278680941.46514636
873,NEM,XEM,8999999999.0,0.030379658736892846,7494696.38084256,273416928.60165596,0.36974897,4.53679363,-10.13642636,273416928.60165596
2130,Enjin Coin,ENJ,1000000000.0,0.26487295980457043,9290134.61756435,264872959.80457044,0.27846852,6.81561442,-12.77032694,264872959.80457044
